feature,binary_decision_tree_importance,binary_logistic_regression_importance,binary_random_forest_importance,binary_avg_importance,grouped_decision_tree_importance,grouped_logistic_regression_importance,grouped_random_forest_importance,grouped_avg_importance,all_decision_tree_importance,all_logistic_regression_importance,all_random_forest_importance,all_avg_importance,total_avg,total_avg_scaled
network_protocols_src_has_data,0.00048172896863654934,0.0025971787171962762,0.0005176275867144181,0.0035965352725472436,0.0014510585731265923,0.09299377785119897,0.002825712643221768,0.09727054906754733,0.0,0.04039802713461846,0.02152207884169322,0.06192010597631167,0.05426239677213542,0.09234798519663547
network_protocols_dst_has_http,0.0,0.04036109920577661,0.0,0.04036109920577661,0.0,0.0372761232428264,0.00026448453507049214,0.03754060777789689,0.007818964438827033,0.02849054395853557,0.03219528714711687,0.06850479554447947,0.04880216750938432,0.08298352114051108
network_fragmentation-score,0.0,0.0,0.0,0.0,0.0016649570500290715,0.0,0.0054000283947844485,0.00706498544481352,0.10835911680101201,0.0,0.030711904381539895,0.1390710211825519,0.04871200220912181,0.08282888482895948
network_window-size_max,0.011225186913305964,0.0,0.01824027052435368,0.029465457437659645,0.0036121742469645665,0.0,0.055422249878856786,0.059034424125821355,0.015964868335943485,0.0,0.04125685950297757,0.05722172783892106,0.04857386980080069,0.08259198342602145
network_protocols_src_has_tcp,3.844561207646552e-05,0.0044525155861679655,0.007802830862473085,0.012293792060717516,2.5676490259760077e-06,0.06545820616930592,0.007950147681243198,0.0734109214995751,0.0,0.05499600871013386,0.0013661838145109133,0.05636219252464477,0.0473556353616458,0.08050267323986803
network_ports_src_has_23,0.0,0.0,0.001034003045655129,0.001034003045655129,0.008568297268822776,0.0,0.09665778896629308,0.10522608623511585,0.004183281935451944,0.0,0.02967590427817392,0.033859186213625866,0.04670642516479895,0.07938925743611867
network_protocols_src_has_mqtt,0.0,0.003944963279245267,0.004076092007496057,0.008021055286741324,0.008950689517174041,0.06757148665853077,0.004717051653825436,0.08123922782953025,0.0,0.03987399269251982,0.004310076828916017,0.04418406952143584,0.0444814508792358,0.0755733569088102
network_ports_src_has_1883,0.0006407312568533795,0.0,0.00756101145126798,0.00820174270812136,0.0001344102774795312,0.0,0.005839365251681206,0.0059737755291607375,0.0,0.0,0.11844648248010402,0.11844648248010402,0.04420733357246204,0.07510323714956199
network_packet-size_max,0.0012640814201134766,0.0,0.013413275881225668,0.014677357301339145,0.01673696822349842,0.0,0.03068190552645142,0.04741887374994984,0.005636973935948019,0.0,0.05985973798608539,0.06549671192203341,0.04253098099110746,0.07222824001334709
network_ports_dst_has_557,0.0,0.036817863075695456,0.0,0.036817863075695456,0.0,0.011545215721944821,4.325263748436982e-06,0.011549540985693258,0.0,0.012858379835054104,0.06558657245290579,0.07844495228795989,0.042270785449782876,0.0717819965175071
network_ip-length_std_deviation,0.003656132215072671,0.0,0.00916889466899135,0.012825026884064021,0.001348355793527223,0.0,0.04305910195406166,0.044407457747588884,0.013740848050421695,0.0,0.04991527475859995,0.06365612280902164,0.04029620248022484,0.0683955249328057
network_ip-length_max,0.0008235715819910225,0.0,0.012550572289142933,0.013374143871133955,0.002001907021680325,0.0,0.042891663611617614,0.044893570633297936,0.009088088236756513,0.0,0.044341431128928716,0.05342951936568523,0.03723241129003904,0.06314102716442632
network_protocols_src_has_http,0.0,0.030788493513651465,5.8794131054558366e-05,0.030847287644706022,0.0,0.038716769042921234,8.497084868663001e-05,0.038801739891607866,0.002393640494184223,0.01372902289449929,0.025250166652749872,0.041372830041433384,0.03700728585924909,0.062754930005625
network_ips_src_count,0.000844210402021617,0.0,0.0023418411329380693,0.0031860515349596864,0.001787977289089665,0.0,0.0773946901510713,0.07918266744016096,0.00814396678265639,0.0,0.018960877617207977,0.027104844399864367,0.03649118779166167,0.06186980566912002
network_protocols_dst_has_telnet,0.0,0.014502893681726683,0.00031148677331448084,0.014814380455041165,3.832246803488445e-06,0.0625275987206369,0.00536174091935078,0.06789317188679117,0.0,0.010167121851143877,0.008386722388538543,0.01855384423968242,0.03375379886050492,0.05717509798929368
network_protocols_dst_has_dns,0.0,0.007936607335574643,3.710188427502775e-05,0.00797370921984967,3.966781625235102e-19,0.04708229508046484,0.0024307933522184112,0.04951308843268325,0.0006930655222043788,0.023386115761577522,0.0006607819932772181,0.02473996327705912,0.027408920309864013,0.04629343272053264
